"","DefensiveTeam","PassLength","PassLocation","n"
"1","ARI","Deep","left",44
"2","ARI","Deep","middle",21
"3","ARI","Deep","right",41
"4","ARI","Short","left",162
"5","ARI","Short","middle",118
"6","ARI","Short","right",183
"7","ARI",NA,NA,6
"8","ATL","Deep","left",57
"9","ATL","Deep","middle",18
"10","ATL","Deep","right",36
"11","ATL","Short","left",175
"12","ATL","Short","middle",107
"13","ATL","Short","right",167
"14","ATL",NA,NA,2
"15","BAL","Deep","left",46
"16","BAL","Deep","middle",19
"17","BAL","Deep","right",40
"18","BAL","Short","left",143
"19","BAL","Short","middle",113
"20","BAL","Short","right",182
"21","BAL",NA,NA,5
"22","BUF","Deep","left",45
"23","BUF","Deep","middle",38
"24","BUF","Deep","right",50
"25","BUF","Short","left",192
"26","BUF","Short","middle",79
"27","BUF","Short","right",198
"28","BUF",NA,NA,5
"29","CAR","Deep","left",41
"30","CAR","Deep","middle",27
"31","CAR","Deep","right",37
"32","CAR","Short","left",222
"33","CAR","Short","middle",112
"34","CAR","Short","right",203
"35","CAR",NA,NA,4
"36","CHI","Deep","left",29
"37","CHI","Deep","middle",14
"38","CHI","Deep","right",32
"39","CHI","Short","left",140
"40","CHI","Short","middle",100
"41","CHI","Short","right",192
"42","CHI",NA,NA,4
"43","CIN","Deep","left",36
"44","CIN","Deep","middle",28
"45","CIN","Deep","right",46
"46","CIN","Short","left",166
"47","CIN","Short","middle",162
"48","CIN","Short","right",202
"49","CIN",NA,NA,5
"50","CLE","Deep","left",39
"51","CLE","Deep","middle",15
"52","CLE","Deep","right",45
"53","CLE","Short","left",165
"54","CLE","Short","middle",76
"55","CLE","Short","right",167
"56","CLE",NA,NA,5
"57","DAL","Deep","left",34
"58","DAL","Deep","middle",14
"59","DAL","Deep","right",36
"60","DAL","Short","left",157
"61","DAL","Short","middle",85
"62","DAL","Short","right",179
"63","DAL",NA,NA,1
"64","DEN","Deep","left",37
"65","DEN","Deep","middle",31
"66","DEN","Deep","right",32
"67","DEN","Short","left",176
"68","DEN","Short","middle",106
"69","DEN","Short","right",189
"70","DEN",NA,NA,2
"71","DET","Deep","left",39
"72","DET","Deep","middle",20
"73","DET","Deep","right",34
"74","DET","Short","left",153
"75","DET","Short","middle",114
"76","DET","Short","right",166
"77","DET",NA,NA,4
"78","GB","Deep","left",38
"79","GB","Deep","middle",28
"80","GB","Deep","right",46
"81","GB","Short","left",125
"82","GB","Short","middle",134
"83","GB","Short","right",177
"84","GB",NA,NA,2
"85","HOU","Deep","left",39
"86","HOU","Deep","middle",28
"87","HOU","Deep","right",37
"88","HOU","Short","left",169
"89","HOU","Short","middle",90
"90","HOU","Short","right",190
"91","HOU",NA,NA,1
"92","IND","Deep","left",57
"93","IND","Deep","middle",30
"94","IND","Deep","right",46
"95","IND","Short","left",175
"96","IND","Short","middle",95
"97","IND","Short","right",180
"98","IND",NA,NA,2
"99","JAC","Deep","left",33
"100","JAC","Deep","middle",23
"101","JAC","Deep","right",56
"102","JAC","Short","left",174
"103","JAC","Short","middle",125
"104","JAC","Short","right",187
"105","JAC",NA,NA,2
"106","KC","Deep","left",49
"107","KC","Deep","middle",19
"108","KC","Deep","right",60
"109","KC","Short","left",183
"110","KC","Short","middle",98
"111","KC","Short","right",195
"112","KC",NA,NA,5
"113","MIA","Deep","left",44
"114","MIA","Deep","middle",22
"115","MIA","Deep","right",38
"116","MIA","Short","left",177
"117","MIA","Short","middle",99
"118","MIA","Short","right",158
"119","MIA",NA,NA,4
"120","MIN","Deep","left",43
"121","MIN","Deep","middle",23
"122","MIN","Deep","right",29
"123","MIN","Short","left",169
"124","MIN","Short","middle",97
"125","MIN","Short","right",198
"126","MIN",NA,NA,2
"127","NE","Deep","left",64
"128","NE","Deep","middle",23
"129","NE","Deep","right",58
"130","NE","Short","left",173
"131","NE","Short","middle",118
"132","NE","Short","right",159
"133","NE",NA,NA,2
"134","NO","Deep","left",42
"135","NO","Deep","middle",26
"136","NO","Deep","right",34
"137","NO","Short","left",143
"138","NO","Short","middle",110
"139","NO","Short","right",177
"140","NO",NA,NA,15
"141","NYG","Deep","left",44
"142","NYG","Deep","middle",26
"143","NYG","Deep","right",49
"144","NYG","Short","left",197
"145","NYG","Short","middle",115
"146","NYG","Short","right",203
"147","NYG",NA,NA,3
"148","NYJ","Deep","left",49
"149","NYJ","Deep","middle",23
"150","NYJ","Deep","right",42
"151","NYJ","Short","left",205
"152","NYJ","Short","middle",90
"153","NYJ","Short","right",192
"154","NYJ",NA,NA,2
"155","OAK","Deep","left",45
"156","OAK","Deep","middle",18
"157","OAK","Deep","right",42
"158","OAK","Short","left",202
"159","OAK","Short","middle",130
"160","OAK","Short","right",198
"161","OAK",NA,NA,10
"162","PHI","Deep","left",65
"163","PHI","Deep","middle",20
"164","PHI","Deep","right",48
"165","PHI","Short","left",195
"166","PHI","Short","middle",99
"167","PHI","Short","right",202
"168","PHI",NA,NA,2
"169","PIT","Deep","left",35
"170","PIT","Deep","middle",30
"171","PIT","Deep","right",41
"172","PIT","Short","left",185
"173","PIT","Short","middle",138
"174","PIT","Short","right",194
"175","PIT",NA,NA,3
"176","SD","Deep","left",38
"177","SD","Deep","middle",14
"178","SD","Deep","right",49
"179","SD","Short","left",160
"180","SD","Short","middle",80
"181","SD","Short","right",167
"182","SD",NA,NA,3
"183","SEA","Deep","left",45
"184","SEA","Deep","middle",20
"185","SEA","Deep","right",39
"186","SEA","Short","left",169
"187","SEA","Short","middle",112
"188","SEA","Short","right",163
"189","SEA",NA,NA,3
"190","SF","Deep","left",44
"191","SF","Deep","middle",26
"192","SF","Deep","right",48
"193","SF","Short","left",182
"194","SF","Short","middle",81
"195","SF","Short","right",165
"196","SF",NA,NA,6
"197","STL","Deep","left",33
"198","STL","Deep","middle",19
"199","STL","Deep","right",36
"200","STL","Short","left",159
"201","STL","Short","middle",117
"202","STL","Short","right",229
"203","STL",NA,NA,3
"204","TB","Deep","left",34
"205","TB","Deep","middle",19
"206","TB","Deep","right",28
"207","TB","Short","left",168
"208","TB","Short","middle",118
"209","TB","Short","right",175
"210","TB",NA,NA,1
"211","TEN","Deep","left",45
"212","TEN","Deep","middle",19
"213","TEN","Deep","right",35
"214","TEN","Short","left",145
"215","TEN","Short","middle",84
"216","TEN","Short","right",175
"217","TEN",NA,NA,1
"218","WAS","Deep","left",34
"219","WAS","Deep","middle",24
"220","WAS","Deep","right",49
"221","WAS","Short","left",145
"222","WAS","Short","middle",126
"223","WAS","Short","right",171
"224","WAS",NA,NA,17
